"eventID","measurementType","measurementTypeID","measurementValue","measurementUnit","measurementUnitID","measurementRemarks"
"MC118_20101030_LII10GOM4221","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20101030_LII10GOM4221","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20101030_LII10GOM4221","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20101030_LII10GOM4222","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20101030_LII10GOM4222","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20101030_LII10GOM4222","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20101030_LII10GOM4223","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20101030_LII10GOM4223","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20101030_LII10GOM4223","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20101030_LII10GOM4224","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20101030_LII10GOM4224","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20101030_LII10GOM4224","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20101030_LII10GOM4228","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20101030_LII10GOM4228","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20101030_LII10GOM4228","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20101030_LII10GOM4229","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20101030_LII10GOM4229","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20101030_LII10GOM4229","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20101030_LII10GOM4230","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20101030_LII10GOM4230","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20101030_LII10GOM4230","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028046a","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028046a","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028046a","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028046b","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028046b","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028046b","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028046c","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028046c","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028046c","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028046d","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028046d","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028046d","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028048a","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028048a","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028048a","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028048b","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028048b","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028048b","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028048c","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028048c","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028048c","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028048d","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028048d","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028048d","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","7","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028049a","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028049a","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028049a","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028049b","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028049b","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028049b","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028049c","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028049c","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028049c","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028049d","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028049d","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028049d","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028051a","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028051a","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028051a","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028051b","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028051b","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028051b","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028051c","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028051c","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028051c","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"MC118_20130625_NA028051d","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"MC118_20130625_NA028051d","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"MC118_20130625_NA028051d","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130627_NA028084a","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130627_NA028084a","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130627_NA028084a","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130627_NA028084b","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130627_NA028084b","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130627_NA028084b","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130627_NA028084c","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130627_NA028084c","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130627_NA028084c","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130627_NA028084d","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130627_NA028084d","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130627_NA028084d","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130627_NA028085a","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130627_NA028085a","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130627_NA028085a","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130627_NA028085b","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130627_NA028085b","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130627_NA028085b","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130627_NA028085c","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130627_NA028085c","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130627_NA028085c","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130627_NA028085d","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130627_NA028085d","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130627_NA028085d","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130627_NA028086a","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130627_NA028086a","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130627_NA028086a","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130627_NA028086b","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130627_NA028086b","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130627_NA028086b","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130627_NA028086c","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130627_NA028086c","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","3","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130627_NA028086c","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130627_NA028086d","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130627_NA028086d","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130627_NA028086d","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130629_NA028105a","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
"AT357_20130629_NA028105a","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: lower value of ""Fraction"
"AT357_20130629_NA028105a","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","1","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: upper value of ""Fraction"
"AT357_20130629_NA028105b","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Verbatim Label: CoreDiameter"
